"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","split"
"1",5.1,3.5,1.4,0.2,"setosa","test"
"2",4.9,3,1.4,0.2,"setosa","train"
"3",4.7,3.2,1.3,0.2,"setosa","train"
"4",4.6,3.1,1.5,0.2,"setosa","train"
"5",5,3.6,1.4,0.2,"setosa","train"
"6",5.4,3.9,1.7,0.4,"setosa","train"
"7",4.6,3.4,1.4,0.3,"setosa","test"
"8",5,3.4,1.5,0.2,"setosa","train"
"9",4.4,2.9,1.4,0.2,"setosa","train"
"10",4.9,3.1,1.5,0.1,"setosa","train"
"11",5.4,3.7,1.5,0.2,"setosa","train"
"12",4.8,3.4,1.6,0.2,"setosa","train"
"13",4.8,3,1.4,0.1,"setosa","train"
"14",4.3,3,1.1,0.1,"setosa","train"
"15",5.8,4,1.2,0.2,"setosa","train"
"16",5.7,4.4,1.5,0.4,"setosa","train"
"17",5.4,3.9,1.3,0.4,"setosa","test"
"18",5.1,3.5,1.4,0.3,"setosa","train"
"19",5.7,3.8,1.7,0.3,"setosa","train"
"20",5.1,3.8,1.5,0.3,"setosa","train"
"21",5.4,3.4,1.7,0.2,"setosa","test"
"22",5.1,3.7,1.5,0.4,"setosa","train"
"23",4.6,3.6,1,0.2,"setosa","train"
"24",5.1,3.3,1.7,0.5,"setosa","train"
"25",4.8,3.4,1.9,0.2,"setosa","test"
"26",5,3,1.6,0.2,"setosa","train"
"27",5,3.4,1.6,0.4,"setosa","train"
"28",5.2,3.5,1.5,0.2,"setosa","test"
"29",5.2,3.4,1.4,0.2,"setosa","train"
"30",4.7,3.2,1.6,0.2,"setosa","train"
"31",4.8,3.1,1.6,0.2,"setosa","test"
"32",5.4,3.4,1.5,0.4,"setosa","train"
"33",5.2,4.1,1.5,0.1,"setosa","train"
"34",5.5,4.2,1.4,0.2,"setosa","test"
"35",4.9,3.1,1.5,0.2,"setosa","train"
"36",5,3.2,1.2,0.2,"setosa","train"
"37",5.5,3.5,1.3,0.2,"setosa","train"
"38",4.9,3.6,1.4,0.1,"setosa","train"
"39",4.4,3,1.3,0.2,"setosa","test"
"40",5.1,3.4,1.5,0.2,"setosa","train"
"41",5,3.5,1.3,0.3,"setosa","test"
"42",4.5,2.3,1.3,0.3,"setosa","train"
"43",4.4,3.2,1.3,0.2,"setosa","train"
"44",5,3.5,1.6,0.6,"setosa","train"
"45",5.1,3.8,1.9,0.4,"setosa","train"
"46",4.8,3,1.4,0.3,"setosa","train"
"47",5.1,3.8,1.6,0.2,"setosa","train"
"48",4.6,3.2,1.4,0.2,"setosa","train"
"49",5.3,3.7,1.5,0.2,"setosa","train"
"50",5,3.3,1.4,0.2,"setosa","test"
"51",7,3.2,4.7,1.4,"versicolor","train"
"52",6.4,3.2,4.5,1.5,"versicolor","train"
"53",6.9,3.1,4.9,1.5,"versicolor","test"
"54",5.5,2.3,4,1.3,"versicolor","train"
"55",6.5,2.8,4.6,1.5,"versicolor","test"
"56",5.7,2.8,4.5,1.3,"versicolor","train"
"57",6.3,3.3,4.7,1.6,"versicolor","train"
"58",4.9,2.4,3.3,1,"versicolor","train"
"59",6.6,2.9,4.6,1.3,"versicolor","train"
"60",5.2,2.7,3.9,1.4,"versicolor","test"
"61",5,2,3.5,1,"versicolor","train"
"62",5.9,3,4.2,1.5,"versicolor","train"
"63",6,2.2,4,1,"versicolor","train"
"64",6.1,2.9,4.7,1.4,"versicolor","test"
"65",5.6,2.9,3.6,1.3,"versicolor","train"
"66",6.7,3.1,4.4,1.4,"versicolor","train"
"67",5.6,3,4.5,1.5,"versicolor","train"
"68",5.8,2.7,4.1,1,"versicolor","train"
"69",6.2,2.2,4.5,1.5,"versicolor","test"
"70",5.6,2.5,3.9,1.1,"versicolor","test"
"71",5.9,3.2,4.8,1.8,"versicolor","train"
"72",6.1,2.8,4,1.3,"versicolor","train"
